"CommentID","CommentDate","CommentTime"
1,2017-06-05,06:12 PM
2,2017-06-21,01:14 AM
3,2016-01-22,05:26 AM
4,2017-08-14,07:15 PM
5,2016-11-29,04:51 AM
6,2016-11-29,04:51 AM
7,2016-03-16,03:52 AM
8,2017-08-14,07:16 PM
9,2019-11-22,03:54 PM
10,2019-11-22,03:55 PM
11,2019-11-22,03:55 PM
12,2016-03-22,03:43 AM
13,2017-07-25,12:23 AM
14,2017-12-09,01:29 AM
15,2018-06-06,08:43 PM
16,2020-03-15,02:08 AM
17,2016-02-05,04:14 AM
18,2016-11-29,05:06 AM
19,2018-04-06,11:45 AM
20,2018-10-06,04:00 PM
21,2019-11-22,10:59 PM
22,2016-03-24,04:36 AM
23,2017-08-22,09:35 PM
24,2016-02-17,02:46 AM
25,2016-02-18,05:53 AM
26,2016-10-19,08:35 PM
27,2017-08-26,03:30 AM
28,2017-12-26,07:11 AM
29,2016-02-20,04:23 AM
30,2016-11-29,05:30 AM
31,2016-02-24,01:20 AM
32,2016-02-28,12:45 AM
33,2016-02-28,12:48 AM
34,2017-01-05,07:46 AM
35,2016-04-19,11:41 AM
36,2017-06-24,10:13 PM
37,2017-07-31,08:34 PM
38,2017-05-28,06:09 AM
39,2017-07-13,04:20 AM
40,2017-01-01,10:27 PM
41,2016-04-28,01:20 AM
42,2016-04-28,03:35 AM
43,2016-12-03,05:43 PM
44,2017-04-28,10:55 PM
45,2016-12-06,01:46 AM
46,2017-07-15,12:14 AM
47,2017-12-16,04:51 AM
48,2016-08-28,04:13 PM
49,2017-06-03,11:03 PM
50,2018-04-30,11:41 PM
51,2018-05-01,12:18 AM
52,2016-05-07,03:55 AM
53,2017-07-19,01:09 AM
54,2016-05-11,03:03 AM
55,2016-05-11,03:36 AM
56,2016-08-17,10:07 PM
57,2019-11-22,07:22 PM
58,2016-11-13,11:36 PM
59,2018-02-21,04:43 AM
60,2021-07-05,03:59 AM
61,2018-08-29,01:23 AM
62,2016-05-15,10:15 PM
63,2016-08-28,04:11 PM
64,2017-02-03,03:54 AM
65,2016-05-18,04:15 AM
66,2017-07-03,11:34 PM
67,2017-06-05,02:50 PM
68,2016-08-28,04:12 PM
69,2017-07-01,04:20 PM
70,2016-05-25,11:51 PM
71,2017-06-26,07:30 PM
72,2016-05-27,04:34 AM
73,2016-10-19,08:37 PM
74,2018-08-08,06:43 PM
75,2016-07-25,03:59 PM
76,2016-11-29,05:44 PM
77,2017-06-19,04:01 AM
78,2017-08-01,01:51 AM
79,2021-06-07,02:48 PM
80,2019-11-22,07:16 PM
81,2021-10-26,01:39 AM
82,2016-10-29,04:36 AM
83,2017-06-26,07:37 PM
84,2021-08-20,01:32 AM
85,2016-09-30,02:32 AM
86,2017-05-29,01:01 PM
87,2016-10-03,10:33 PM
88,2017-05-22,12:01 AM
89,2016-10-06,11:02 PM
90,2016-10-10,11:28 PM
91,2017-02-28,03:34 PM
92,2017-03-02,10:20 AM
93,2017-04-29,05:39 PM
94,2017-07-06,03:36 AM
95,2016-10-13,12:34 AM
96,2016-10-14,12:38 AM
97,2016-10-14,12:38 AM
98,2016-12-03,06:01 AM
99,2016-12-13,10:20 PM
100,2016-10-25,02:04 PM
101,2016-10-26,01:45 AM
102,2016-10-26,02:29 AM
103,2016-10-27,02:02 AM
104,2018-07-24,08:40 PM
105,2018-07-24,08:40 PM
106,2016-10-28,01:02 AM
107,2017-01-22,09:25 AM
108,2016-11-02,12:32 AM
109,2021-11-13,09:45 PM
110,2022-07-31,07:57 PM
111,2016-11-03,01:29 AM
112,2022-07-31,07:58 PM
113,2016-11-04,12:37 AM
114,2016-11-05,12:10 AM
115,2016-11-08,12:38 AM
116,2021-06-02,04:12 AM
117,2018-07-21,04:08 AM
118,2016-11-11,01:20 AM
119,2016-11-12,03:42 AM
120,2016-11-15,03:43 AM
121,2017-03-23,09:11 PM
122,2021-06-28,04:47 AM
123,2022-07-03,05:10 PM
124,2016-11-22,01:45 AM
125,2016-12-23,07:13 PM
126,2017-01-18,04:28 AM
127,2017-08-10,07:05 PM
128,2017-01-19,04:09 AM
129,2017-01-20,04:35 AM
130,2017-01-20,05:51 AM
131,2017-01-24,01:14 AM
132,2017-01-24,03:33 AM
133,2017-01-24,05:20 AM
134,2017-01-24,06:36 AM
135,2021-09-05,09:36 PM
136,2021-09-13,11:29 PM
137,2017-01-26,04:47 AM
138,2017-01-27,05:52 AM
139,2017-01-27,05:52 AM
140,2017-01-28,04:28 AM
141,2017-01-28,04:31 AM
142,2017-06-01,03:49 AM
143,2018-03-29,12:06 AM
144,2017-06-01,03:54 AM
145,2017-07-04,10:26 PM
146,2017-02-01,05:45 AM
147,2017-02-02,03:34 AM
148,2017-02-03,04:14 AM
149,2017-05-31,02:57 PM
150,2017-05-31,02:58 PM
151,2021-06-28,04:53 AM
152,2017-02-08,04:45 AM
153,2017-02-09,06:20 AM
154,2017-02-10,06:13 AM
155,2017-02-11,03:39 AM
156,2017-02-15,01:41 PM
157,2017-02-25,11:14 PM
158,2017-07-01,04:28 AM
159,2017-02-18,03:54 AM
160,2022-07-25,05:27 PM
161,2017-02-22,01:14 AM
162,2017-08-14,07:17 PM
163,2017-02-22,03:40 AM
164,2019-05-31,03:08 PM
165,2018-05-18,12:57 AM
166,2017-03-11,10:35 PM
167,2017-03-13,05:30 AM
168,2017-04-22,01:37 AM
169,2017-12-19,04:53 AM
170,2018-06-26,07:55 PM
171,2017-03-11,11:23 PM
172,2018-03-25,04:49 AM
173,2017-06-04,05:09 AM
174,2017-03-12,05:48 PM
175,2017-03-12,05:48 PM
176,2021-08-14,01:24 PM
177,2019-07-16,06:31 PM
178,2019-11-22,07:23 PM
179,2017-03-12,09:22 PM
180,2017-05-07,04:39 PM
181,2017-03-13,09:08 PM
182,2017-05-07,04:42 PM
183,2017-03-13,09:08 PM
184,2017-03-13,09:14 PM
185,2017-05-07,04:45 PM
186,2017-07-10,10:47 PM
187,2018-05-14,08:32 PM
188,2017-03-16,09:42 PM
189,2018-05-14,09:02 PM
190,2017-03-18,12:59 AM
191,2017-03-18,05:28 PM
192,2017-06-17,02:54 PM
193,2018-07-30,01:48 AM
194,2017-03-18,10:15 PM
195,2018-07-30,02:15 AM
196,2022-03-30,05:10 AM
197,2017-03-19,06:28 PM
198,2022-09-01,08:11 AM
199,2017-03-19,08:49 PM
200,2017-07-23,04:49 AM
201,2018-07-29,05:56 PM
202,2017-03-19,08:49 PM
203,2017-03-19,08:51 PM
204,2017-07-23,04:47 AM
205,2017-03-19,08:53 PM
206,2017-08-01,06:18 AM
207,2018-06-26,09:34 PM
208,2018-06-26,11:41 PM
209,2018-06-26,09:41 PM
210,2017-03-20,09:10 PM
211,2018-06-18,04:00 PM
212,2017-03-20,11:27 PM
213,2017-03-21,03:31 AM
214,2017-03-22,12:32 AM
215,2017-07-23,04:52 AM
216,2017-03-22,03:49 AM
217,2018-05-14,07:59 PM
218,2017-07-20,03:25 AM
219,2017-03-22,05:40 PM
220,2017-03-28,12:39 PM
221,2017-12-23,05:39 AM
222,2018-07-24,08:32 PM
223,2017-03-22,06:56 PM
224,2018-06-06,01:52 AM
225,2018-06-13,07:51 PM
226,2017-03-23,07:11 PM
227,2017-03-24,11:21 PM
228,2017-03-24,11:34 PM
229,2017-03-26,12:33 AM
230,2018-05-14,09:31 PM
231,2017-03-26,12:34 AM
232,2018-04-03,03:38 AM
233,2017-03-26,02:07 AM
234,2017-08-28,06:56 AM
235,2018-07-30,01:45 AM
236,2017-03-26,02:52 PM
237,2017-03-26,02:52 PM
238,2017-03-26,02:54 PM
239,2017-03-27,03:28 PM
240,2017-03-27,07:01 PM
241,2018-07-30,01:43 PM
242,2021-02-16,02:06 PM
243,2017-05-28,05:07 AM
244,2017-05-09,01:11 AM
245,2017-03-29,12:58 AM
246,2017-03-29,03:24 PM
247,2017-03-29,03:24 PM
248,2017-03-29,08:52 PM
249,2021-07-18,04:17 AM
250,2017-05-25,10:50 PM
251,2017-07-20,07:14 AM
252,2018-03-19,01:04 PM
253,2017-06-29,05:30 AM
254,2019-11-08,10:14 PM
255,2019-11-08,10:16 PM
256,2019-11-08,10:19 PM
257,2019-11-08,10:20 PM
258,2017-03-31,06:19 PM
259,2017-03-31,06:19 PM
260,2017-03-31,06:20 PM
261,2017-03-31,11:08 PM
262,2018-07-21,03:26 AM
263,2021-07-27,09:18 PM
264,2018-06-21,02:34 AM
265,2018-07-30,01:34 PM
266,2017-04-01,05:19 PM
267,2017-04-27,04:11 PM
268,2017-04-01,05:20 PM
269,2017-07-06,03:39 AM
270,2017-07-20,03:26 AM
271,2019-12-10,03:22 AM
272,2021-05-12,03:01 AM
273,2017-04-02,01:49 AM
274,2018-06-26,07:24 PM
275,2019-05-26,12:05 AM
276,2017-04-02,06:06 PM
277,2017-05-07,05:59 AM
278,2018-06-26,07:41 PM
279,2017-04-02,06:07 PM
280,2019-06-25,12:59 PM
281,2017-04-02,06:09 PM
282,2018-03-19,01:21 PM
283,2018-03-19,01:28 PM
284,2017-05-09,01:16 AM
285,2018-07-21,03:33 AM
286,2017-04-04,09:21 PM
287,2017-04-04,09:18 PM
288,2017-05-22,09:00 PM
289,2018-09-28,11:09 PM
290,2020-03-18,06:29 PM
291,2017-07-06,02:17 AM
292,2017-04-06,12:47 AM
293,2017-05-14,06:16 AM
294,2018-05-27,01:04 AM
295,2020-12-03,11:02 PM
296,2017-04-07,07:54 PM
297,2017-05-21,03:12 PM
298,2017-04-08,08:41 PM
299,2017-06-11,06:27 AM
300,2017-04-08,10:11 PM
301,2018-05-29,07:55 PM
302,2018-06-05,10:18 AM
303,2018-07-20,04:30 AM
304,2017-05-14,02:03 AM
305,2018-03-19,12:52 PM
306,2021-06-10,06:55 PM
307,2017-04-09,05:49 PM
308,2017-07-20,03:41 PM
309,2017-08-01,06:25 AM
310,2017-04-09,09:24 PM
311,2017-04-30,02:35 PM
312,2018-07-27,10:38 PM
313,2018-07-28,12:04 AM
314,2021-08-14,01:41 PM
315,2017-04-10,02:07 PM
316,2017-04-30,02:37 PM
317,2017-04-10,07:04 PM
318,2017-04-30,02:43 PM
319,2017-04-10,07:06 PM
320,2017-04-30,02:45 PM
321,2019-11-22,06:55 PM
322,2020-03-15,04:35 PM
323,2017-04-10,09:06 PM
324,2017-04-11,05:24 AM
325,2018-04-04,03:41 AM
326,2017-06-30,11:56 PM
327,2017-04-11,07:02 PM
328,2017-04-11,07:01 PM
329,2017-05-02,09:49 PM
330,2017-04-12,10:26 PM
331,2017-04-13,12:34 AM
332,2022-12-12,05:43 AM
333,2017-04-13,04:08 PM
334,2017-04-14,02:57 PM
335,2017-04-14,09:01 PM
336,2017-05-14,06:18 AM
337,2020-02-24,03:04 AM
338,2020-03-28,05:44 PM
339,2017-05-14,06:19 AM
340,2021-07-23,07:59 AM
341,2017-05-14,06:19 AM
342,2019-11-22,07:09 PM
343,2017-06-24,02:55 AM
344,2017-11-08,05:52 AM
345,2017-04-16,08:48 PM
346,2017-04-16,08:49 PM
347,2017-05-03,11:46 AM
348,2017-04-17,03:09 PM
349,2017-05-14,05:53 AM
350,2017-10-23,02:23 PM
351,2017-04-17,06:58 PM
352,2017-04-17,06:58 PM
353,2017-04-18,12:48 AM
